gene	beta	hr	se	z	p	q
TFAP2A-AS1	0.6592008897258538	1.9332468395619173	0.2412993851193364	2.731879691279947	0.006297413207837277	0.9993228105536583
PRPF4	1.0014889970964282	2.722332357073194	0.36677516875558813	2.7305256255332844	0.006323341692799023	0.9993228105536583
MIR5685	-0.43228481672191676	0.6490244973282583	0.15834536370350286	-2.7300124652298483	0.00633319308186131	0.9993228105536583
HNRNPD	1.1791547512544436	3.25162460938604	0.43198038006983175	2.729648858274136	0.006340181781129051	0.9993228105536583
FIBCD1	0.4327703182335465	1.5415221205133443	0.1588434553562972	2.7245083359765236	0.006439730470495508	0.9993228105536583
HNRNPK	1.626360968131778	5.0853353089947175	0.5980606013286357	2.719391587606168	0.00654021303992236	0.9993228105536583
R3HDM4	1.0147130821880206	2.758571800434912	0.37388312215885106	2.713984724233958	0.006647923162817815	0.9993228105536583
CCNA2	0.3546637909342604	1.4257012400123559	0.13093648953951062	2.7086703804384427	0.006755341659935521	0.9993228105536583
SAP30	0.6461885853119521	1.908253804320588	0.23856805102793754	2.7086132553276387	0.0067565047521824795	0.9993228105536583
LMNB1	0.4074035497480863	1.5029104824487098	0.15080406676904426	2.70154219628588	0.006901872191112046	0.9993228105536583
CCDC58	0.6749673529136819	1.9639688570624025	0.2499496348322515	2.700413438758061	0.006925335577263825	0.9993228105536583
MAD2L1	0.43537817323443695	1.5455474331187975	0.16124051394929784	2.700178525673404	0.006930227693897395	0.9993228105536583
AC090425.1	-0.8251983369480953	0.4381480828929697	0.3056177637350765	-2.700099388409291	0.006931876443724949	0.9993228105536583
PTMA	1.0704061681967014	2.916563874922638	0.39669563535891406	2.698305886900524	0.0069693369491177215	0.9993228105536583
GAPDHP63	0.6431955462235107	1.9025508649112532	0.23858594117044032	2.6958652428058474	0.0070206062520263846	0.9993228105536583
NCAPG	0.37423349855533494	1.4538765889092617	0.1390048800530437	2.69223280803184	0.007097538139426263	0.9993228105536583
CBX3P9	0.5804865884092686	1.7869077078219069	0.21574563488366663	2.69060641121326	0.007132228501008919	0.9993228105536583
CCNB1	0.35858352733075305	1.4313005798522653	0.1335773958545172	2.6844626296001173	0.007264650431054953	0.9993228105536583
AC130456.2	-0.6084484683396671	0.5441945494797223	0.2267781318808349	-2.68301208451346	0.007296235382178606	0.9993228105536583
TFAP2A	0.3497208788543404	1.4186715121069757	0.1304782550759235	2.680300090239884	0.007355618525092478	0.9993228105536583
GUF1	0.8250879194990628	2.282081395962656	0.3082363914379821	2.6768024231333256	0.0074328451949383645	0.9993228105536583
LINC01116	0.41517813797072894	1.51464053165202	0.15524305734444419	2.674374912944133	0.0074868700487704665	0.9993228105536583
KIF3AP1	-0.8472698280070642	0.4285834426170215	0.31715948460924726	-2.6714314694102033	0.007552849317051358	0.9993228105536583
UBE2D2	1.3177427903189443	3.7349812194743177	0.49348221662467995	2.670294381289041	0.0075784771910893944	0.9993228105536583
ACTB	0.8914474887729208	2.438657026422788	0.3341331160824323	2.667941146405244	0.00763176254186515	0.9993228105536583
AC009303.4	0.8593815376511292	2.3616996196486246	0.32288868745547505	2.661541178241601	0.007778382603054634	0.9993228105536583
YARS2	0.6267396676663018	1.8714989132276678	0.23561231517110365	2.6600463019564926	0.007812990997952518	0.9993228105536583
AC093675.1	-0.7627429015932741	0.46638542166108693	0.2872609704813255	-2.6552263619914878	0.007925520545426279	0.9993228105536583
PTMAP9	0.6067745056838586	1.8345046612331455	0.22877328983072975	2.6522961056022467	0.0079946396845203	0.9993228105536583
GNG12	0.592997336533888	1.8094036874241373	0.22359232511165708	2.6521363657619204	0.007998423109456976	0.9993228105536583
G0S2	0.2696799914437572	1.3095453179672514	0.1016968631755947	2.651802455087673	0.00800633693511621	0.9993228105536583
LINC01983	-0.5251399048727985	0.5914726086779071	0.19852827169158552	-2.6451643405660907	0.008165125062316037	0.9993228105536583
SH3GL1	1.0478692436852912	2.8515686423361637	0.3964506379152772	2.6431266429421774	0.008214430423777896	0.9993228105536583
